"Gene","Module"
"CYP27B1","lightyellow"
"NDRG2","blue"
"REP15","greenyellow"
"GRAP2","grey"
"CBLL1","orangered4"
"HEPACAM2","grey"
"ZNF76","blue"
"ANKRD22","blue"
"IFNL3","yellow"
"FOXD4L6","grey"
"UBE2NL","paleturquoise"
"SLC25A46","turquoise"
"NDUFAF6","brown"
"LETM1","saddlebrown"
"TBC1D16","grey60"
"SLFN13","violet"
"HRG","greenyellow"
"CDC123","black"
"BAHD1","yellow"
"DDX31","black"
"GABRA1","tan"
"ABCC3","green"
"IGFBP1","green"
"IDH3B","salmon"
"HLA-DMB","turquoise"
"TUBB2A","darkred"
"CYTH3","magenta"
"JPH3","pink"
"DNAAF1","pink"
"DEFB1","blue"
"KREMEN1","lightsteelblue1"
"VWA3B","blue"
"DLX5","pink"
"DNAJB11","salmon"
"FYN","turquoise"
"TRPC1","turquoise"
"LETMD1","lightgreen"
"MPV17L","turquoise"
"B9D1","darkturquoise"
"ZNF384","blue"
"C12orf61","green"
"FXYD2","grey60"
"PPCDC","purple"
"ZNF17","lightyellow"
"RP11-192H23.4","grey"
"CCBL1","black"
"EMC7","turquoise"
"LXN","lightcyan1"
"RPLP1","tan"
"EGFL6","yellow"
"CCND3","darkgreen"
"DIRAS3","tan"
"CCNE1","red"
"ATP2A1","pink"
"AGAP7","blue"
"MPEG1","darkorange"
"DDX18","brown"
"MUM1L1","magenta"
"WWTR1","darkturquoise"
"GLCE","magenta"
"PRPH2","blue"
"PAQR7","turquoise"
"AP2S1","brown"
"TNFRSF8","orange"
"TFAP2E","turquoise"
"KIAA0368","pink"
"NARS2","cyan"
"NUP85","red"
"ASUN","turquoise"
"PDZD4","skyblue3"
"CDKL1","thistle1"
"PNMA5","grey"
"MTX2","cyan"
"VPS13C","turquoise"
"FUT10","purple"
"MRPL35","yellow"
"ZNF665","darkgrey"
"PODXL","steelblue"
"NETO2","darkgreen"
"MYOC","blue"
"CD300E","darkorange"
"AGAP10","grey"
"MTERFD3","brown"
"LRRC10B","brown"
"TRAPPC9","red"
"ODF2L","turquoise"
"GALNT5","blue"
"GADL1","lavenderblush3"
"RPS6KL1","red"
"SLCO4A1","red"
"ZCCHC2","yellow"
"TMED1","yellow"
"ZFP57","greenyellow"
"CARHSP1","darkturquoise"
"IRGC","darkorange2"
"CLEC2B","yellow"
"VCX2","tan"
"AP001888.1","pink"
"AC079602.1","violet"
"RHOD","darkred"
"SHROOM3","purple"
"FABP5","darkmagenta"
"AC021860.1","grey60"
"COX6A2","tan"
"DCTN2","salmon"
"QKI","midnightblue"
"LOXL1","orange"
"KIAA1191","purple"
"ZNF142","red"
"HES1","darkolivegreen"
"PLCD4","orange"
"NOL4","turquoise"
"KLK5","magenta"
"KRTCAP2","grey"
"CSRP3","grey"
"GJA5","turquoise"
"ZNF563","brown"
"ANKRD33B","green"
"COL23A1","tan"
"FCRL6","magenta"
"COL6A5","grey"
"CKMT1A","turquoise"
"FAM84A","turquoise"
"LIG3","yellow"
"MANSC4","grey"
"PCNP","salmon"
"NDOR1","white"
"U2SURP","salmon"
"FEZF1","grey"
"GPX4","yellow"
"MAL","blue"
"CCDC154","yellowgreen"
"XBP1","blue"
"THNSL2","brown"
"P4HA3","turquoise"
"PLEKHG4","saddlebrown"
"RPL39L","blue"
"ATP5J2","blue"
"RASAL3","turquoise"
"CXCR2","darkorange"
"SP7","grey"
"IL31RA","red"
"HN1","brown"
"ZNF841","yellow"
"LRIG1","blue"
"MYLIP","purple"
"MED27","purple"
"TRIAP1","brown"
"NAP1L2","bisque4"
"RP11-664I21.6","grey"
"METTL5","salmon"
